image_name,sample,treatment,total_pollen,tails,no_tails,ph,pollen_treatment,incubation_temperature_°C,DAFA,germination_percent
cq329_24g_sucrose_fa6_9_p6_12_d1_0005.jpg,24_001,24,28,2,26,5.5,control,22,3,7.142857143
cq329_24g_sucrose_fa6_9_p6_12_d1_0006.jpg,24_001,24,57,1,56,5.5,control,22,3,1.754385965
cq329_24g_sucrose_fa6_9_p6_12_d1_0007.jpg,24_001,24,38,1,37,5.5,control,22,3,2.631578947
cq329_24g_sucrose_fa6_9_p6_12_d1_0008.jpg,24_001,24,32,1,31,5.5,control,22,3,3.125
cq329_24g_sucrose_fa6_9_p6_12_d1_0009.jpg,24_001,24,46,1,45,5.5,control,22,3,2.173913043
cq329_24g_sucrose_fa6_9_p6_12_d1_0010.jpg,24_001,24,33,1,32,5.5,control,22,3,3.03030303
cq329_24g_sucrose_fa6_9_p6_13_d1_0001.jpg,24_002,24,39,4,35,5.5,control,22,3,10.25641026
cq329_24g_sucrose_fa6_9_p6_13_d1_0002.jpg,24_002,24,40,4,36,5.5,control,22,3,10
cq329_24g_sucrose_fa6_9_p6_13_d1_0003.jpg,24_002,24,49,2,47,5.5,control,22,3,4.081632653
cq329_24g_sucrose_fa6_9_p6_13_d1_0004.jpg,24_002,24,48,3,45,5.5,control,22,3,6.25
cq329_24g_sucrose_fa6_9_p6_13_d1_0005.jpg,24_002,24,35,4,31,5.5,control,22,3,11.42857143
cq329_24g_sucrose_fa6_9_p6_13_d1_0006.jpg,24_002,24,33,6,27,5.5,control,22,3,18.18181818
cq329_24g_sucrose_fa6_9_p6_13_d1_0007.jpg,24_002,24,57,1,56,5.5,control,22,3,1.754385965
cq329_24g_sucrose_fa6_9_p6_13_d1_0008.jpg,24_002,24,75,5,70,5.5,control,22,3,6.666666667
cq329_24g_sucrose_fa6_9_p6_13_d1_0009.jpg,24_002,24,64,4,60,5.5,control,22,3,6.25
cq329_24g_sucrose_fa6_9_p6_13_d1_0010.jpg,24_002,24,82,4,78,5.5,control,22,3,4.87804878
cq329_24g_sucrose_fa6_9_p6_13_d2_0001.jpg,24_003,24,24,3,21,5.5,control,22,3,12.5
cq329_24g_sucrose_fa6_9_p6_13_d2_0002.jpg,24_003,24,19,2,17,5.5,control,22,3,10.52631579
cq329_24g_sucrose_fa6_9_p6_13_d2_0003.jpg,24_003,24,27,1,26,5.5,control,22,3,3.703703704
cq329_24g_sucrose_fa6_9_p6_13_d2_0004.jpg,24_003,24,19,2,17,5.5,control,22,3,10.52631579
cq329_24g_sucrose_fa6_9_p6_13_d2_0005.jpg,24_003,24,22,2,20,5.5,control,22,3,9.090909091
cq329_24g_sucrose_fa6_9_p6_13_d2_0006.jpg,24_003,24,21,2,19,5.5,control,22,3,9.523809524
cq329_24g_sucrose_fa6_9_p6_13_d2_0007.jpg,24_003,24,22,2,20,5.5,control,22,3,9.090909091
cq329_24g_sucrose_fa6_9_p6_13_d2_0008.jpg,24_003,24,19,2,17,5.5,control,22,3,10.52631579
cq329_24g_sucrose_fa6_9_p6_13_d2_0009.jpg,24_003,24,27,1,26,5.5,control,22,3,3.703703704
cq329_24g_sucrose_fa6_9_p6_13_d2_0010.jpg,24_003,24,31,2,29,5.5,control,22,3,6.451612903
cq329_24g_sucrose_fa6_9_p6_13_d3_0001.jpg,24_004,24,15,1,14,5.5,control,22,3,6.666666667
cq329_24g_sucrose_fa6_9_p6_13_d3_0002.jpg,24_004,24,35,2,33,5.5,control,22,3,5.714285714
cq329_24g_sucrose_fa6_9_p6_13_d3_0003.jpg,24_004,24,15,1,14,5.5,control,22,3,6.666666667
cq329_24g_sucrose_fa6_9_p6_13_d3_0004.jpg,24_004,24,14,1,13,5.5,control,22,3,7.142857143
cq329_24g_sucrose_fa6_9_p6_13_d3_0005.jpg,24_004,24,35,0,35,5.5,control,22,3,0
cq329_24g_sucrose_fa6_9_p6_13_d3_0006.jpg,24_004,24,64,0,64,5.5,control,22,3,0
cq329_24g_sucrose_fa6_9_p6_13_d3_0007.jpg,24_004,24,26,1,25,5.5,control,22,3,3.846153846
cq329_24g_sucrose_fa6_9_p6_13_d3_0008.jpg,24_004,24,58,0,58,5.5,control,22,3,0
cq329_24g_sucrose_fa6_9_p6_13_d3_009.jpg,24_004,24,43,1,42,5.5,control,22,3,2.325581395
cq329_24g_sucrose_fa6_9_p6_13_d3_0010.jpg,24_004,24,90,1,89,5.5,control,22,3,1.111111111
cq329_24g_sucrose_fa6_9_p6_13_d4_0001.jpg,24_005,24,21,1,20,5.5,control,22,3,4.761904762
cq329_24g_sucrose_fa6_9_p6_13_d4_0002.jpg,24_005,24,15,1,14,5.5,control,22,3,6.666666667
cq329_24g_sucrose_fa6_9_p6_13_d4_0003.jpg,24_005,24,36,0,36,5.5,control,22,3,0
cq329_24g_sucrose_fa6_9_p6_13_d4_0004.jpg,24_005,24,80,0,80,5.5,control,22,3,0
cq329_24g_sucrose_fa6_9_p6_13_d4_0005.jpg,24_005,24,111,4,107,5.5,control,22,3,3.603603604
cq329_24g_sucrose_fa6_9_p6_13_d4_0006.jpg,24_005,24,71,4,67,5.5,control,22,3,5.633802817
cq329_24g_sucrose_fa6_9_p6_13_d4_0007.jpg,24_005,24,19,1,18,5.5,control,22,3,5.263157895
cq329_24g_sucrose_fa6_9_p6_13_d4_0008.jpg,24_005,24,59,1,58,5.5,control,22,3,1.694915254
cq329_24g_sucrose_fa6_9_p6_13_d4_0009.jpg,24_005,24,229,2,227,5.5,control,22,3,0.873362445
cq329_24g_sucrose_fa6_9_p6_13_d4_0010.jpg,24_005,24,205,2,203,5.5,control,22,3,0.975609756
cq329_24g_sucrose_fa6_9_p6_13_d5_0001.jpg,24_006,24,151,3,148,5.5,control,22,3,1.986754967
cq329_24g_sucrose_fa6_9_p6_13_d5_0002.jpg,24_006,24,58,1,57,5.5,control,22,3,1.724137931
cq329_24g_sucrose_fa6_9_p6_13_d5_0003.jpg,24_006,24,58,2,56,5.5,control,22,3,3.448275862
cq329_24g_sucrose_fa6_9_p6_13_d5_0004.jpg,24_006,24,108,4,104,5.5,control,22,3,3.703703704
cq329_24g_sucrose_fa6_9_p6_13_d5_0005.jpg,24_006,24,127,2,125,5.5,control,22,3,1.57480315
cq329_24g_sucrose_fa6_9_p6_13_d5_0006.jpg,24_006,24,154,6,148,5.5,control,22,3,3.896103896
cq329_24g_sucrose_fa6_9_p6_13_d5_0007.jpg,24_006,24,127,5,122,5.5,control,22,3,3.937007874
cq329_24g_sucrose_fa6_9_p6_13_d5_0008.jpg,24_006,24,118,7,111,5.5,control,22,3,5.93220339
